Benchmark,cpu_0,cpu_1,cpu_2,cpu_3
mix_12.out,2.296,2.942,1.67,1.911
mix_11.out,0.7777,1.296,1.762,2.148
mix_0.out,2.174,1.963,1.487,2.154
mix_2.out,0.3785,2.94,1.312,1.558
mix_9.out,0.3363,1.04,0.3973,1.953
mix_7.out,0.6403,2.139,1.632,2.165
mix_6.out,0.6036,2.311,2.961,2.165
mix_3.out,0.3888,1.311,2.922,0.4578
mix_8.out,0.3575,1.272,1.486,2.163
mix_1.out,2.138,0.3202,1.526,0.387
mix_14.out,1.96,0.3012,2.247,0.8263
mix_5.out,0.2336,1.526,1.379,2.161
mix_15.out,0.08528,2.263,0.4923,0.2933
mix_4.out,2.911,1.769,2.134,2.146
mix_13.out,0.2118,0.3976,0.7219,2.129
mix_10.out,0.2368,2.274,1.136,1.281
