Benchmark,cpu_0,cpu_1,cpu_2,cpu_3
mix_1_nopref.out,2.069,0.1655,0.8496,0.2335
mix_5_nopref.out,0.09896,0.737,1.13,2.157
mix_6_nopref.out,0.3393,2.3,2.922,2.163
mix_14_nopref.out,1.735,0.1488,2.191,0.4864
mix_10_nopref.out,0.1044,2.191,0.5383,0.8012
mix_13_nopref.out,0.1028,0.2477,0.4111,2.11
mix_12_nopref.out,2.254,2.855,0.8106,1.299
mix_2_nopref.out,0.1323,2.812,0.9837,1.01
mix_0_nopref.out,2.106,1.024,1.26,2.146
mix_8_nopref.out,0.1283,0.7226,1.203,2.154
mix_4_nopref.out,2.832,1.289,1.578,2.125
mix_11_nopref.out,0.4364,0.709,1.112,2.101
mix_3_nopref.out,0.1243,0.7802,2.911,0.1947
mix_7_nopref.out,0.3734,2.16,1.578,2.162
mix_9_nopref.out,0.1467,0.6416,0.1942,1.254
mix_15_nopref.out,0.04411,2.187,0.3144,0.1514
