Benchmark,cpu_0,cpu_1,cpu_2,cpu_3
mix_1_nopref.out,1.775,0.2829,0.6879,0.2402
mix_5_nopref.out,0.1945,0.5548,1.329,2.143
mix_6_nopref.out,0.418,2.275,2.848,2.159
mix_14_nopref.out,1.081,0.1338,1.971,0.6776
mix_10_nopref.out,0.1686,2.06,0.4076,0.9341
mix_13_nopref.out,0.08378,0.317,0.5123,2.059
mix_12_nopref.out,2.198,2.513,0.6557,1.493
mix_2_nopref.out,0.2032,2.207,1.019,1.039
mix_0_nopref.out,1.925,0.8192,1.498,2.143
mix_8_nopref.out,0.1554,0.7345,1.176,2.13
mix_4_nopref.out,2.127,1.336,1.491,2.095
mix_11_nopref.out,0.4704,0.7439,0.7495,2.054
mix_3_nopref.out,0.2071,0.8353,2.494,0.1767
mix_7_nopref.out,0.4446,2.05,1.578,2.161
mix_9_nopref.out,0.1691,0.6852,0.1498,1.117
mix_15_nopref.out,0.06939,2.008,0.4234,0.1234
