Benchmark,cpu_0,cpu_1,cpu_2,cpu_3
mix_12.out,2.273,2.789,1.055,2.006
mix_11.out,0.8267,1.308,1.338,2.128
mix_0.out,2.044,1.175,1.59,2.152
mix_2.out,0.4051,2.667,1.303,1.569
mix_9.out,0.3704,1.083,0.2994,1.777
mix_7.out,0.6458,2.111,1.635,2.165
mix_6.out,0.6185,2.295,2.892,2.161
mix_3.out,0.4341,1.341,2.8,0.3375
mix_8.out,0.3743,1.285,1.472,2.159
mix_1.out,1.979,0.4485,1.036,0.3533
mix_14.out,1.526,0.2653,2.166,1.099
mix_5.out,0.3699,0.9446,1.487,2.153
mix_15.out,0.1488,2.178,0.6594,0.2328
mix_4.out,2.669,1.8,2.036,2.136
mix_13.out,0.1621,0.528,0.9611,2.105
mix_10.out,0.3333,2.221,0.7522,1.424
