Benchmark,cpu_0,cpu_1,cpu_2,cpu_3
mix_1_nopref.out,2.101,0.2219,0.7544,0.262
mix_5_nopref.out,0.1214,0.572,1.245,2.148
mix_6_nopref.out,0.3071,2.293,2.93,2.164
mix_14_nopref.out,1.854,0.1346,2.175,0.5796
mix_10_nopref.out,0.1296,2.187,0.5052,0.8929
mix_13_nopref.out,0.07109,0.4633,0.4809,2.068
mix_12_nopref.out,2.256,2.842,1.013,1.462
mix_2_nopref.out,0.1474,2.354,0.9976,0.9927
mix_0_nopref.out,2.125,1.062,1.363,2.148
mix_8_nopref.out,0.09762,0.8279,1.05,2.127
mix_4_nopref.out,2.58,1.313,1.61,2.11
mix_11_nopref.out,0.6157,0.6717,0.7512,2.077
mix_3_nopref.out,0.1091,0.8585,2.706,0.1296
mix_7_nopref.out,0.3201,2.106,1.551,2.161
mix_9_nopref.out,0.1229,0.7239,0.143,1.16
mix_15_nopref.out,0.05204,2.079,0.5059,0.1255
